name,F
pi,delta
budget,67430.49596666667
wp,1,2020/10,2023/12,1456
wp,10,2020/10,2023/12,65
periods,1,2020/10,2021/9
periods,2,2021/10,2022/9
periods,3,2022/10,2023/9
target,F/CONTRACT 1,0,0.5833333333333334,0
target,gamma,0.03,0.03,0
target,delta,0.08,0.08,0.08
target,alpha,0.03,0.03,0.03
